Designator,Mid X,Mid Y,Layer,Rotation
C1,69.48,13.89,Top,90.0
C2,52.83, 7.11,Top,270.0
D1,85.70,46.00,Top,270.0
D2,85.70,10.00,Top,270.0
D3,85.70,21.00,Top,270.0
D4,85.70,32.00,Top,270.0
D5,33.00,29.00,Top,270.0
D6,33.00,37.00,Top,270.0
D7,33.00,45.00,Top,270.0
D8,25.00,45.00,Top,90.0
D9,25.00,37.00,Top,90.0
D10,25.00,29.00,Top,90.0
D11,17.00,29.00,Top,270.0
D12,17.00,37.00,Top,270.0
D13,17.00,45.00,Top,270.0
ESP32,60.98,32.00,Top,0.0
F1,66.95,42.04,Top,270.0
F2,60.98,42.04,Top,270.0
F3,55.01,42.04,Top,270.0
Q1,59.82,55.88,Top,270.0
Q2,58.42,52.07,Top,90.0
R1,66.95,33.02,Top,90.0
R2,60.98,33.02,Top,90.0
R3,55.01,33.02,Top,90.0
R4,53.09,59.05,Top,270.0
R5,52.83,11.94,Top,270.0
R6,63.25,53.39,Top,270.0
R7,53.09,54.48,Top,270.0
R8,66.04,49.66,Top,90.0
R9,68.83,49.66,Top,90.0
S1, 9.50,37.00,Top,90.0
S2,81.00,55.00,Top,270.0
U1,60.45,10.41,Top,90.0
U2,60.75,25.15,Top,180.0
X1,35.75, 6.00,Top,180.0
X2,25.00, 6.00,Top,180.0
X3,14.25, 6.00,Top,180.0
X9,25.00,64.00,Top,0.0
